iter	MultiClass
0	1.690014737
1	1.610797433
2	1.541916501
3	1.479619037
4	1.428999185
5	1.386543604
6	1.344030761
7	1.307244517
8	1.273026272
9	1.245802356
10	1.216826074
11	1.194008517
12	1.173914349
13	1.153948875
14	1.13355984
15	1.117430254
16	1.100076363
17	1.083888851
18	1.071981282
19	1.055717747
20	1.043059335
21	1.032239472
22	1.019441538
23	1.008981518
24	1.001459546
25	0.9883033651
26	0.9812692679
27	0.9745310138
28	0.9683765662
29	0.9612578631
30	0.9561172073
31	0.9485051766
32	0.9427228525
33	0.9360693702
34	0.927609334
35	0.9215586569
36	0.9165999451
37	0.9111296129
38	0.9078972964
39	0.9024487857
40	0.8994745111
41	0.8938760521
42	0.8859342345
43	0.8801029947
44	0.874249031
45	0.8685907014
46	0.8628542181
47	0.858845044
48	0.8515598359
49	0.8457017363
50	0.8424385703
51	0.8388665336
52	0.8343447156
53	0.8302691243
54	0.8256736629
55	0.822067857
56	0.8194828629
57	0.8165404411
58	0.8104013911
59	0.8058462581
60	0.802197136
61	0.7985454466
62	0.7943074539
63	0.7904564736
64	0.7869488654
65	0.7823890214
66	0.7795164852
67	0.7754177792
68	0.7724835008
69	0.7693276132
70	0.7658072345
71	0.7611392241
72	0.7578373407
73	0.7562194107
74	0.7508902574
75	0.7472589446
76	0.7421867654
77	0.739381256
78	0.736454406
79	0.7330335002
80	0.7299003265
81	0.7266355907
82	0.7249266167
83	0.722032359
84	0.7187440932
85	0.7167992507
86	0.713851166
87	0.7101833121
88	0.7071856053
89	0.7051181468
90	0.6994071753
91	0.695351623
92	0.6917911619
93	0.6878881626
94	0.6851380151
95	0.6828982629
96	0.6784647783
97	0.6745022564
98	0.6700588972
99	0.6679999377
100	0.6657583824
101	0.6633215262
102	0.659681806
103	0.6572718087
104	0.6548726749
105	0.6514487176
106	0.6488696943
107	0.6455422988
108	0.6439514054
109	0.6402789786
110	0.6378085521
111	0.6357271537
112	0.6322039051
113	0.6307708669
114	0.6280966403
115	0.6259777251
116	0.6221161277
117	0.6192604794
118	0.6163122714
119	0.612583186
120	0.6107872603
121	0.6070996594
122	0.60605797
123	0.6023776259
124	0.5996044625
125	0.5966123319
126	0.5939730538
127	0.5906250459
128	0.5881934186
129	0.5850597469
130	0.5824119881
131	0.5804505204
132	0.578745018
133	0.5765224396
134	0.5739922775
135	0.5712636528
136	0.5684555489
137	0.5657499932
138	0.562772136
139	0.5607995002
140	0.5592688278
141	0.5575057481
142	0.5549915476
143	0.5521651044
144	0.5504917887
145	0.5491177401
146	0.5473987386
147	0.5456419179
148	0.5428114043
149	0.5409035197
150	0.5391725578
151	0.5376229781
152	0.5361180833
153	0.5346611047
154	0.5330676547
155	0.530798618
156	0.5283182133
157	0.5257674703
158	0.5239006472
159	0.5223397056
160	0.5205703166
161	0.5181808014
162	0.5168244966
163	0.514833083
164	0.5137873345
165	0.5115560845
166	0.5098343054
167	0.5077086412
168	0.5059142214
169	0.5035384599
170	0.502586183
171	0.5010283772
172	0.4989802581
173	0.4966385054
174	0.4947012965
175	0.4925151417
176	0.4912013904
177	0.4897192795
178	0.4879170028
179	0.4869938397
180	0.4850945677
181	0.4831866625
182	0.4820356695
183	0.4803150321
184	0.4785961844
185	0.4773720106
186	0.4755393725
187	0.4735541351
188	0.4722662628
189	0.4701502562
190	0.4691200796
191	0.4676724165
192	0.4656282694
193	0.4644893235
194	0.4636483527
195	0.4627346035
196	0.4611999343
197	0.4599130986
198	0.4583297183
199	0.4565244952
200	0.4547151762
201	0.4538665334
202	0.451567944
203	0.4500027363
204	0.4488712809
205	0.4475824469
206	0.4457339937
207	0.4445390069
208	0.4435346149
209	0.4425200055
210	0.4404079061
211	0.438944892
212	0.4369967254
213	0.435486236
214	0.4337457181
215	0.4323848625
216	0.4309550681
217	0.4299694225
218	0.4286106874
219	0.4265842737
220	0.4252250271
221	0.4240708488
222	0.4231500409
223	0.4221110621
224	0.4206074268
225	0.4192671599
226	0.4179654972
227	0.4167873001
228	0.4157555278
229	0.4137940978
230	0.4127063279
231	0.4118334323
232	0.4104930687
233	0.4095867204
234	0.4082838702
235	0.4070667067
236	0.4061059679
237	0.4046494253
238	0.4033180682
239	0.4018572559
240	0.4013253739
241	0.4000671159
242	0.3990077192
243	0.397796529
244	0.3962534356
245	0.3952876868
246	0.3938839819
247	0.3929514119
248	0.3921560609
249	0.3913554329
250	0.390301537
251	0.3887010089
252	0.3878878679
253	0.3870181418
254	0.3857232963
255	0.3847845078
256	0.3837439373
257	0.3827925499
258	0.3821539373
259	0.380573675
260	0.3794824352
261	0.3786372331
262	0.3771382062
263	0.3760179469
264	0.3751871047
265	0.3742246607
266	0.3731200936
267	0.372049849
268	0.3706884778
269	0.3698483547
270	0.3688511576
271	0.3675135353
272	0.3669088591
273	0.3657215875
274	0.3646501015
275	0.3638707192
276	0.3626605565
277	0.3619898202
278	0.3608442558
279	0.359720675
280	0.3586198811
281	0.3578120873
282	0.3571851364
283	0.3560362257
284	0.3552161468
285	0.3540538709
286	0.3526302305
287	0.3511982519
288	0.3506003465
289	0.3499012308
290	0.3490782917
291	0.3481834908
292	0.3470512621
293	0.3461014948
294	0.3449502052
295	0.3443963788
296	0.3433364417
297	0.3425193897
298	0.3415821946
299	0.3409144531
300	0.3396104537
301	0.3379979845
302	0.3369584885
303	0.3359210494
304	0.3351309175
305	0.334564476
306	0.3333405543
307	0.3319367652
308	0.331371211
309	0.3302706069
310	0.3297131932
311	0.328875272
312	0.3276759741
313	0.3269504637
314	0.3260546763
315	0.3254280638
316	0.3243748253
317	0.3238539853
318	0.3231197933
319	0.3220514754
320	0.3210786227
321	0.3198732408
322	0.3188580392
323	0.3181427512
324	0.31773027
325	0.3171352439
326	0.3164833147
327	0.3158601004
328	0.3151346956
329	0.3144493201
330	0.3136596861
331	0.3127981852
332	0.3122082136
333	0.3117019074
334	0.3108279701
335	0.3099522273
336	0.3089324706
337	0.3083242766
338	0.3075933391
339	0.307025196
340	0.3064666194
341	0.3057515278
342	0.305083265
343	0.3042420563
344	0.303601368
345	0.3031698401
346	0.3015064117
347	0.3007789112
348	0.3002031568
349	0.299584936
