iter	Passed	Remaining
0	20	20412
1	44	22199
2	62	20831
3	81	20183
4	98	19548
5	115	19154
6	131	18699
7	151	18753
8	169	18626
9	189	18773
10	207	18633
11	225	18560
12	245	18614
13	265	18715
14	296	19437
15	325	20015
16	351	20321
17	372	20309
18	379	19607
19	397	19484
20	422	19703
21	441	19623
22	459	19526
23	488	19847
24	506	19772
25	525	19700
26	546	19682
27	564	19592
28	583	19521
29	601	19435
30	619	19371
31	649	19647
32	668	19601
33	686	19518
34	704	19426
35	722	19349
36	744	19368
37	762	19293
38	778	19188
39	797	19140
40	816	19089
41	834	19032
42	854	19013
43	875	19013
44	893	18968
45	916	19003
46	936	18981
47	959	19024
48	976	18952
49	994	18895
50	1011	18827
51	1029	18762
52	1048	18729
53	1070	18750
54	1087	18688
55	1104	18615
56	1122	18567
57	1140	18522
58	1160	18505
59	1178	18459
60	1196	18411
61	1213	18365
62	1236	18384
63	1254	18352
64	1277	18378
65	1298	18377
66	1317	18348
67	1340	18370
68	1366	18432
69	1384	18399
70	1403	18360
71	1421	18317
72	1439	18276
73	1456	18231
74	1478	18239
75	1499	18229
76	1518	18197
77	1535	18145
78	1552	18094
79	1570	18059
80	1591	18060
81	1610	18032
82	1628	17995
83	1646	17954
84	1664	17918
85	1683	17888
86	1703	17873
87	1723	17857
88	1737	17784
89	1756	17761
90	1783	17815
91	1804	17808
92	1821	17760
93	1838	17719
94	1856	17682
95	1873	17641
96	1891	17610
97	1909	17575
98	1929	17561
99	1949	17546
100	1967	17511
101	1984	17473
102	2002	17441
103	2021	17418
104	2039	17387
105	2058	17358
106	2078	17348
107	2097	17325
108	2114	17288
109	2134	17272
110	2152	17242
111	2171	17215
112	2197	17247
113	2236	17384
114	2257	17371
115	2273	17328
116	2290	17286
117	2306	17241
118	2326	17221
119	2344	17191
120	2364	17173
121	2381	17139
122	2399	17106
123	2417	17076
124	2439	17075
125	2457	17044
126	2474	17011
127	2492	16978
128	2510	16948
129	2528	16919
130	2547	16897
131	2565	16869
132	2582	16833
133	2599	16801
134	2618	16774
135	2649	16834
136	2670	16821
137	2687	16788
138	2705	16759
139	2723	16730
140	2743	16714
141	2760	16682
142	2778	16651
143	2795	16614
144	2812	16585
145	2831	16562
146	2851	16546
147	2869	16518
148	2886	16484
149	2902	16446
150	2920	16417
151	2940	16407
152	2958	16376
153	2975	16344
154	2992	16312
155	3009	16283
156	3027	16256
157	3046	16237
158	3073	16258
159	3095	16251
160	3113	16222
161	3130	16194
162	3148	16166
