,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-09-04,54013.02458696207,49121.03849202098,61888.96147393698,54013.02458696207,54013.02458696207,1650.1124363118863,1650.1124363118863,1650.1124363118863,1650.1124363118863,1650.1124363118863,1650.1124363118863,0.0,0.0,0.0,55663.13702327396
1,2022-09-11,54135.51918297875,49677.47715714815,61998.66308686062,54135.51918297875,54135.51918297875,1929.3726016236294,1929.3726016236294,1929.3726016236294,1929.3726016236294,1929.3726016236294,1929.3726016236294,0.0,0.0,0.0,56064.89178460238
2,2022-09-18,54258.01377899543,50148.317181009304,62230.94278346465,54257.99432130105,54258.01898594753,1653.1460746629737,1653.1460746629737,1653.1460746629737,1653.1460746629737,1653.1460746629737,1653.1460746629737,0.0,0.0,0.0,55911.159853658406
3,2022-09-25,54380.50837501211,48905.480287912025,61677.86436913075,54377.89700764619,54383.05338108717,1169.8878725114057,1169.8878725114057,1169.8878725114057,1169.8878725114057,1169.8878725114057,1169.8878725114057,0.0,0.0,0.0,55550.39624752352
4,2022-10-02,54503.002971028785,49317.85446834829,61368.21275301468,54496.54269127038,54509.37123134497,805.6845132744858,805.6845132744858,805.6845132744858,805.6845132744858,805.6845132744858,805.6845132744858,0.0,0.0,0.0,55308.68748430327
5,2022-10-09,54625.497567045466,49059.35305998408,61306.386987014404,54613.81770156462,54636.389293460015,528.1545299325205,528.1545299325205,528.1545299325205,528.1545299325205,528.1545299325205,528.1545299325205,0.0,0.0,0.0,55153.65209697799
6,2022-10-16,54747.99216306215,48809.52162119478,60627.43310490229,54731.04979662881,54766.73573543501,73.41760525414432,73.41760525414432,73.41760525414432,73.41760525414432,73.41760525414432,73.41760525414432,0.0,0.0,0.0,54821.40976831629
7,2022-10-23,54870.486759078834,48287.24893768658,60352.56234159937,54848.56024654708,54895.65044818762,-646.5262315266359,-646.5262315266359,-646.5262315266359,-646.5262315266359,-646.5262315266359,-646.5262315266359,0.0,0.0,0.0,54223.9605275522
8,2022-10-30,54992.9813550955,47551.76210077726,59742.49979444818,54962.86118987414,55028.069542431884,-1368.594380011177,-1368.594380011177,-1368.594380011177,-1368.594380011177,-1368.594380011177,-1368.594380011177,0.0,0.0,0.0,53624.38697508432
9,2022-11-06,55115.475951112196,47159.72420424579,59662.65630145634,55075.88051468703,55159.93385545459,-1750.1597389154772,-1750.1597389154772,-1750.1597389154772,-1750.1597389154772,-1750.1597389154772,-1750.1597389154772,0.0,0.0,0.0,53365.31621219672
10,2022-11-13,55237.970547128876,47059.03147941812,60282.046931138335,55194.22265833763,55290.81742879019,-1748.5075237355468,-1748.5075237355468,-1748.5075237355468,-1748.5075237355468,-1748.5075237355468,-1748.5075237355468,0.0,0.0,0.0,53489.46302339333
11,2022-11-20,55360.46514314554,47765.292462307516,60319.89727139346,55304.503966640936,55424.469813551186,-1637.8887545200507,-1637.8887545200507,-1637.8887545200507,-1637.8887545200507,-1637.8887545200507,-1637.8887545200507,0.0,0.0,0.0,53722.57638862549
12,2022-11-27,55482.95973916223,47438.29187376384,60030.60294129898,55416.77107609683,55556.93259239103,-1638.9746565828066,-1638.9746565828066,-1638.9746565828066,-1638.9746565828066,-1638.9746565828066,-1638.9746565828066,0.0,0.0,0.0,53843.98508257942
13,2022-12-04,55605.45433517891,47636.61468267783,60374.50884774443,55528.16512986428,55689.58840893837,-1610.308081604197,-1610.308081604197,-1610.308081604197,-1610.308081604197,-1610.308081604197,-1610.308081604197,0.0,0.0,0.0,53995.14625357471
14,2022-12-11,55727.94893119559,48256.79458002414,60568.590666270116,55641.31941021114,55823.05801470253,-1181.9902747877545,-1181.9902747877545,-1181.9902747877545,-1181.9902747877545,-1181.9902747877545,-1181.9902747877545,0.0,0.0,0.0,54545.958656407834
15,2022-12-18,55850.443527212265,49481.11731344988,62031.05513150165,55751.40110447646,55956.11596804829,-189.27337100062874,-189.27337100062874,-189.27337100062874,-189.27337100062874,-189.27337100062874,-189.27337100062874,0.0,0.0,0.0,55661.170156211636
16,2022-12-25,55972.938123228945,50482.91583841524,63371.77878286369,55859.25029841672,56089.283274297675,1084.0928462185298,1084.0928462185298,1084.0928462185298,1084.0928462185298,1084.0928462185298,1084.0928462185298,0.0,0.0,0.0,57057.03096944748
